 Name, City, IATA, Latitude, Longitude
Kotoka International Airport,Accra,ACC,5.6051898,-0.166786
Tamale Airport,Tamale,TML,9.557189941,-0.863214016
Wa Airport,Wa,\N,10.08269978,-2.507689953
Sunyani Airport,Sunyani,NYI,7.361830235,-2.328759909
Takoradi Airport,Takoradi,TKD,4.89605999,-1.774760008
Port Bouet Airport,Abidjan,ABJ,5.261390209,-3.926290035
Bouaké Airport,Bouake,BYK,7.738800049,-5.07366991
Daloa Airport,Daloa,DJO,6.792809963,-6.473189831
Korhogo Airport,Korhogo,HGO,9.387180328,-5.556660175
Man Airport,Man,MJC,7.272069931,-7.587359905
San Pedro Airport,San Pedro,SPY,4.746719837,-6.660820007
Yamoussoukro Airport,Yamoussoukro,ASK,6.903170109,-5.365580082
Nnamdi Azikiwe International Airport,Abuja,ABV,9.006790161,7.263169765
Akure Airport,Akure,AKR,7.246739864,5.301010132
Benin Airport,Benin,BNI,6.316979885,5.599500179
Margaret Ekpo International Airport,Calabar,CBQ,4.976019859,8.347200394
Akanu Ibiam International Airport,Enugu,ENU,6.474269867,7.56196022
Gusau Airport,Gusau,\N,12.1717,6.69611
Ibadan Airport,Ibadan,IBA,7.362460136,3.978329897
Ilorin International Airport,Ilorin,ILR,8.440210342,4.493919849
Yakubu Gowon Airport,Jos,JOS,9.639829636,8.869050026
Kaduna Airport,Kaduna,KAD,10.6960001,7.320109844
Mallam Aminu International Airport,Kano,KAN,12.0476,8.52462
Maiduguri International Airport,Maiduguri,MIU,11.85529995,13.08090019
Makurdi Airport,Makurdi,MDI,7.70388,8.61394
Murtala Muhammed International Airport,Lagos,LOS,6.577370167,3.321160078
Minna Airport,Minna,MXJ,9.652170181,6.462259769
Port Harcourt International Airport,Port Hartcourt,PHC,5.015490055,6.949590206
Sadiq Abubakar III International Airport,Sokoto,SKO,12.91629982,5.207190037
Yola Airport,Yola,YOL,9.25755024,12.43039989
Zaria Airport,Zaria,ZAR,11.1302,7.68581
Maradi Airport,Maradi,MFQ,13.50249958,7.126749992
Diori Hamani International Airport,Niamey,NIM,13.4815,2.18361
Tahoua Airport,Tahoua,THZ,14.8757,5.265359879
Mano Dayak International Airport,Agadez,AJY,16.9659996,8.000109673
Dirkou Airport,Dirkou,\N,18.96870041,12.86870003
Diffa Airport,Diffa,\N,13.37290001,12.6267004
Zinder Airport,Zinder,ZND,13.77900028,8.98375988
Monastir Habib Bourguiba International Airport,Monastir,MIR,35.7580986,10.75469971
Tunis Carthage International Airport,Tunis,TUN,36.85100174,10.22719955
Sidi Ahmed Air Base,Bizerte,\N,37.245398,9.79145
Remada Air Base,Remada,\N,32.30619812,10.38210011
Gafsa Ksar International Airport,Gafsa,GAF,34.42200089,8.822500229
Gabès Matmata International Airport,Gabes,GAE,33.87689972,10.10330009
Borj El Amri Airport,Bordj El Amri,\N,36.72129822,9.943149567
Djerba Zarzis International Airport,Djerba,DJE,33.875,10.7755003
El Borma Airport,El Borma,EBM,31.70429993,9.254619598
Sfax Thyna International Airport,Sfax,SFA,34.7179985,10.69099998
Tozeur Nefta International Airport,Tozeur,TOE,33.93970108,8.110560417
Niamtougou International Airport,Niatougou,LRL,9.76733017,1.091249943
Lomé-Tokoin Airport,Lome,LFW,6.165609837,1.254510045
Antwerp International Airport (Deurne),Antwerp,ANR,51.18939972,4.460279942
Beauvechain Air Base,Beauvechain,\N,50.75859833,4.768330097
Kleine Brogel Air Base,Kleine Brogel,\N,51.168301,5.47
Brussels Airport,Brussels,BRU,50.90140152,4.48443985
